text,href
1Viktor GyökeresPlayer of the Match: 19.14,/en-GB/players/664500/viktor-gyokeres
2Gabri MartinezPlayer of the Match: 08.89,/en-GB/players/1287941/gabri-martinez
3Pedro GoncalvesPlayer of the Match: 28.73,/en-GB/players/875133/pedro-goncalves
4Wenderson GalenoPlayer of the Match: 38.47,/en-GB/players/776972/wenderson-galeno
5Rodrigo ZalazarPlayer of the Match: 28.44,/en-GB/players/1070776/rodrigo-zalazar
6TrincaoPlayer of the Match: 08.38,/en-GB/players/732282/trincao
7Zaydou YoussoufPlayer of the Match: 28.08,/en-GB/players/813549/zaydou-youssouf
8Ivan JaimePlayer of the Match: 08.07,/en-GB/players/1009832/ivan-jaime
9Tiago GouveiaPlayer of the Match: 07.91,/en-GB/players/1072317/tiago-gouveia
10Nico GonzálezPlayer of the Match: 07.89,/en-GB/players/1280132/nico-gonzalez
11Antonio SilvaPlayer of the Match: 07.88,/en-GB/players/1292092/antonio-silva
12Luiz JuniorPlayer of the Match: 07.87,/en-GB/players/1187044/luiz-junior
13Andre HortaPlayer of the Match: 07.84,/en-GB/players/605507/andre-horta
14Geovany QuendaPlayer of the Match: 07.78,/en-GB/players/1530314/geovany-quenda
15Enea MihajPlayer of the Match: 07.77,/en-GB/players/784876/enea-mihaj
16Adrián MarinPlayer of the Match: 07.76,/en-GB/players/571685/adrian-marin
17Luis AsuéPlayer of the Match: 07.76,/en-GB/players/1088749/luis-asue
18Tomas AraujoPlayer of the Match: 07.75,/en-GB/players/1187283/tomas-araujo
19Pedro FerreiraPlayer of the Match: 07.73,/en-GB/players/824642/pedro-ferreira
20Morten HjulmandPlayer of the Match: 07.71,/en-GB/players/950199/morten-hjulmand
21Alexander BahPlayer of the Match: 07.69,/en-GB/players/734287/alexander-bah
22Matheus NunesPlayer of the Match: 17.67,/en-GB/players/1269785/matheus-nunes
23Joel RoblesPlayer of the Match: 17.66,/en-GB/players/186054/joel-robles
24Ze PedroPlayer of the Match: 07.64,/en-GB/players/957107/ze-pedro
25Kanya FujimotoPlayer of the Match: 17.63,/en-GB/players/924315/kanya-fujimoto
26Daniel BragancaPlayer of the Match: 07.63,/en-GB/players/1014980/daniel-braganca
27Francisco MouraPlayer of the Match: 07.62,/en-GB/players/919374/francisco-moura
28Tiago SilvaPlayer of the Match: 17.59,/en-GB/players/422812/tiago-silva
29CalegariPlayer of the Match: 17.59,/en-GB/players/1070331/calegari
30Goncalo InacioPlayer of the Match: 07.59,/en-GB/players/1165710/goncalo-inacio
31John MercadoPlayer of the Match: 17.58,/en-GB/players/1109100/john-mercado
32Hidemasa MoritaPlayer of the Match: 07.56,/en-GB/players/915102/hidemasa-morita
33Alan VarelaPlayer of the Match: 07.53,/en-GB/players/1186684/alan-varela
34Mirko TopicPlayer of the Match: 07.52,/en-GB/players/1116942/mirko-topic
35Joao MoutinhoPlayer of the Match: 07.50,/en-GB/players/37549/joao-moutinho
36Miguel ReisinhoPlayer of the Match: 17.50,/en-GB/players/872405/miguel-reisinho
37OtavioPlayer of the Match: 07.47,/en-GB/players/1190113/otavio
38Baptiste RouxPlayer of the Match: 07.47,/en-GB/players/1187429/baptiste-roux
39Ivan ZlobinPlayer of the Match: 07.46,/en-GB/players/730776/ivan-zlobin
40Nicolás OtamendiPlayer of the Match: 07.45,/en-GB/players/174321/nicolas-otamendi
41Geny CatamoPlayer of the Match: 07.43,/en-GB/players/1088753/geny-catamo
42Issiar DramePlayer of the Match: 07.43,/en-GB/players/1197251/issiar-drame
43Justin De HaasPlayer of the Match: 07.43,/en-GB/players/969711/justin-de-haas
44Vangelis PavlidisPlayer of the Match: 07.41,/en-GB/players/637749/vangelis-pavlidis
45Felix CorreiaPlayer of the Match: 07.40,/en-GB/players/942358/felix-correia
46Lukas HornicekPlayer of the Match: 07.40,/en-GB/players/1186978/lukas-hornicek
47Cristo GonzálezPlayer of the Match: 07.39,/en-GB/players/573784/cristo-gonzalez
48Ruben RamosPlayer of the Match: 07.38,/en-GB/players/1185179/ruben-ramos
49Ousmane DiomandePlayer of the Match: 07.37,/en-GB/players/1425182/ousmane-diomande
50Ricardo HortaPlayer of the Match: 07.37,/en-GB/players/432591/ricardo-horta
51David SimaoPlayer of the Match: 07.36,/en-GB/players/115512/david-simao
52SorrisoPlayer of the Match: 07.35,/en-GB/players/1257305/sorriso
53AlanPlayer of the Match: 07.35,/en-GB/players/892751/alan
54Mory GbanePlayer of the Match: 07.34,/en-GB/players/1309372/mory-gbane
55Kiki AfonsoPlayer of the Match: 07.33,/en-GB/players/442593/kiki-afonso
56Lucas PiazonPlayer of the Match: 07.32,/en-GB/players/267380/lucas-piazon
57Gustavo SaPlayer of the Match: 07.32,/en-GB/players/1395482/gustavo-sa
58Dinis PintoPlayer of the Match: 07.31,/en-GB/players/1325525/dinis-pinto
59Florentino LuisPlayer of the Match: 07.30,/en-GB/players/793255/florentino-luis
60Orkun KökcüPlayer of the Match: 17.28,/en-GB/players/935409/orkun-kokcu
61MadsonPlayer of the Match: 17.27,/en-GB/players/1116481/madson
62CarvalhoPlayer of the Match: 07.26,/en-GB/players/816001/carvalho
63Maxime DominguezPlayer of the Match: 07.26,/en-GB/players/520450/maxime-dominguez
64Álvaro FernándezPlayer of the Match: 07.25,/en-GB/players/1190025/alvaro-fernandez
65BeniPlayer of the Match: 17.25,/en-GB/players/1372284/beni
66Sidney LimaPlayer of the Match: 07.25,/en-GB/players/1285540/sidney-lima
67Bright Arrey-MbiPlayer of the Match: 07.23,/en-GB/players/1125232/bright-arrey-mbi
68MatheusPlayer of the Match: 07.23,/en-GB/players/261348/matheus
69Tomas HandelPlayer of the Match: 07.21,/en-GB/players/1125750/tomas-handel
70Joao MendesPlayer of the Match: 07.20,/en-GB/players/1285528/joao-mendes
71Martim FernandesPlayer of the Match: 07.20,/en-GB/players/1404949/martim-fernandes
72Diogo CostaPlayer of the Match: 07.19,/en-GB/players/795630/diogo-costa
73Ze CarlosPlayer of the Match: 07.18,/en-GB/players/1132158/ze-carlos
74Godfried FrimpongPlayer of the Match: 07.17,/en-GB/players/934495/godfried-frimpong
75Tiago EsgaioPlayer of the Match: 17.15,/en-GB/players/816222/tiago-esgaio
76MoratoPlayer of the Match: 07.15,/en-GB/players/1053838/morato
77Toni BorevkovicPlayer of the Match: 07.12,/en-GB/players/861962/toni-borevkovic
78Vasco SousaPlayer of the Match: 07.11,/en-GB/players/1285532/vasco-sousa
79Rafael RodriguesPlayer of the Match: 07.10,/en-GB/players/1210509/rafael-rodrigues
80Jorge FernandesPlayer of the Match: 07.10,/en-GB/players/668727/jorge-fernandes
81Luis EstevesPlayer of the Match: 07.09,/en-GB/players/1222175/luis-esteves
82Fredrik AursnesPlayer of the Match: 17.09,/en-GB/players/310768/fredrik-aursnes
83Robson BambuPlayer of the Match: 07.09,/en-GB/players/926136/robson-bambu
84RivaldoPlayer of the Match: 07.09,/en-GB/players/1521414/rivaldo
85Eduardo QuaresmaPlayer of the Match: 07.08,/en-GB/players/1156380/eduardo-quaresma
86Marios VrousaiPlayer of the Match: 07.08,/en-GB/players/914964/marios-vrousai
87Leandro BarreiroPlayer of the Match: 07.08,/en-GB/players/930065/leandro-barreiro
88Ricardo MangasPlayer of the Match: 07.07,/en-GB/players/824655/ricardo-mangas
89SamuPlayer of the Match: 07.07,/en-GB/players/667952/samu
90Stephen EustaquioPlayer of the Match: 07.07,/en-GB/players/816223/stephen-eustaquio
91Bruno BrigidoPlayer of the Match: 07.06,/en-GB/players/268035/bruno-brigido
92RaulPlayer of the Match: 07.06,/en-GB/players/1202678/raul
93Gabriel SilvaPlayer of the Match: 07.06,/en-GB/players/1173684/gabriel-silva
94IbrahimaPlayer of the Match: 07.05,/en-GB/players/955790/ibrahima
95Mario GonzalezPlayer of the Match: 07.05,/en-GB/players/675095/mario-gonzalez
96Frederico VenancioPlayer of the Match: 07.04,/en-GB/players/361379/frederico-venancio
97KaioPlayer of the Match: 07.03,/en-GB/players/1395944/kaio
98Jan-Niklas BestePlayer of the Match: 07.03,/en-GB/players/864157/jan-niklas-beste
99NenePlayer of the Match: 07.02,/en-GB/players/34633/nene
100Giorgi AburjaniaPlayer of the Match: 07.00,/en-GB/players/463963/giorgi-aburjania
101MaracasPlayer of the Match: 16.99,/en-GB/players/938392/maracas
102KewinPlayer of the Match: 06.99,/en-GB/players/1187119/kewin
103BrumaPlayer of the Match: 06.99,/en-GB/players/361322/bruma
104Danny LoaderPlayer of the Match: 06.98,/en-GB/players/817724/danny-loader
105Vladan KovacevicPlayer of the Match: 06.97,/en-GB/players/857434/vladan-kovacevic
106Bruno GasparPlayer of the Match: 06.95,/en-GB/players/361763/bruno-gaspar
107Andre LuizPlayer of the Match: 06.94,/en-GB/players/1284944/andre-luiz
108Jesus RamirezPlayer of the Match: 06.93,/en-GB/players/1075457/jesus-ramirez
109Joao MárioPlayer of the Match: 06.93,/en-GB/players/300916/joao-mario
110Nico MantlPlayer of the Match: 06.92,/en-GB/players/862918/nico-mantl
111Pedro GomesPlayer of the Match: 06.91,/en-GB/players/1388879/pedro-gomes
112PepePlayer of the Match: 06.90,/en-GB/players/850356/pepe
113Nilton VarelaPlayer of the Match: 06.89,/en-GB/players/1097853/nilton-varela
114ViniciusPlayer of the Match: 06.89,/en-GB/players/1044194/vinicius
115Jeremy AntonissePlayer of the Match: 06.88,/en-GB/players/1210947/jeremy-antonisse
116Sopuruchukwu OnyemaechiPlayer of the Match: 06.88,/en-GB/players/1287837/sopuruchukwu-onyemaechi
117Sikou NiakatéPlayer of the Match: 06.86,/en-GB/players/821312/sikou-niakate
118Marcus EdwardsPlayer of the Match: 06.85,/en-GB/players/637744/marcus-edwards
119Roberto FernándezPlayer of the Match: 06.85,/en-GB/players/1252373/roberto-fernandez
120RochinhaPlayer of the Match: 06.85,/en-GB/players/554285/rochinha
121RicardinhoPlayer of the Match: 06.85,/en-GB/players/1195451/ricardinho
122Ruben FernandesPlayer of the Match: 06.84,/en-GB/players/164323/ruben-fernandes
123Mikel VillanuevaPlayer of the Match: 06.84,/en-GB/players/423663/mikel-villanueva
124Leo AlabaPlayer of the Match: 06.83,/en-GB/players/1415886/leo-alaba
125Jesus CastilloPlayer of the Match: 06.82,/en-GB/players/1031121/jesus-castillo
126Joel da SilvaPlayer of the Match: 06.82,/en-GB/players/1393748/joel-da-silva
127Aderllan SantosPlayer of the Match: 06.81,/en-GB/players/361710/aderllan-santos
128Alex BermejoPlayer of the Match: 06.81,/en-GB/players/820743/alex-bermejo
129Tidjany TourePlayer of the Match: 06.81,/en-GB/players/1436985/tidjany-toure
130Ze FerreiraPlayer of the Match: 06.81,/en-GB/players/1287747/ze-ferreira
131Alisson SafiraPlayer of the Match: 06.79,/en-GB/players/793924/alisson-safira
132Cristian DevenishPlayer of the Match: 06.79,/en-GB/players/1187370/cristian-devenish
133Rodrigo AbascalPlayer of the Match: 06.79,/en-GB/players/690223/rodrigo-abascal
134Ilija VukoticPlayer of the Match: 06.78,/en-GB/players/625337/ilija-vukotic
135MarceloPlayer of the Match: 06.77,/en-GB/players/280350/marcelo
136JhonatanPlayer of the Match: 16.77,/en-GB/players/500475/jhonatan
137Morlaye SyllaPlayer of the Match: 06.77,/en-GB/players/689050/morlaye-sylla
138Matheus PereiraPlayer of the Match: 06.77,/en-GB/players/1187623/matheus-pereira
139Jonathan BuatuPlayer of the Match: 06.76,/en-GB/players/201102/jonathan-buatu
140KlismahnPlayer of the Match: 06.76,/en-GB/players/1299645/klismahn
141Leonel BuccaPlayer of the Match: 06.76,/en-GB/players/1201808/leonel-bucca
142Oscar ArandaPlayer of the Match: 06.76,/en-GB/players/1208987/oscar-aranda
143Danilo VeigaPlayer of the Match: 16.75,/en-GB/players/1306664/danilo-veiga
144Bruno VarelaPlayer of the Match: 06.75,/en-GB/players/287640/bruno-varela
145Gabriel BatistaPlayer of the Match: 06.75,/en-GB/players/846023/gabriel-batista
146João MarquesPlayer of the Match: 06.73,/en-GB/players/1428671/joao-marques
147Filipe FerreiraPlayer of the Match: 06.73,/en-GB/players/476766/filipe-ferreira
148Roger FernandesPlayer of the Match: 06.72,/en-GB/players/1283094/roger-fernandes
149Anatolii TrubinPlayer of the Match: 06.72,/en-GB/players/1022350/anatolii-trubin
150Nuno SantosPlayer of the Match: 06.70,/en-GB/players/867395/nuno-santos
151Chico LambaPlayer of the Match: 06.69,/en-GB/players/1188585/chico-lamba
152Nélson OliveiraPlayer of the Match: 16.68,/en-GB/players/156556/nelson-oliveira
153Samuel GranadaPlayer of the Match: 06.67,/en-GB/players/1227654/samuel-granada
154Taichi FukuiPlayer of the Match: 06.66,/en-GB/players/1269404/taichi-fukui
155Luis RochaPlayer of the Match: 06.66,/en-GB/players/244355/luis-rocha
156Mateus FernandesPlayer of the Match: 06.66,/en-GB/players/1356312/mateus-fernandes
157Zeno DebastPlayer of the Match: 06.66,/en-GB/players/1232172/zeno-debast
158Vitor GomesPlayer of the Match: 06.65,/en-GB/players/112397/vitor-gomes
159AndrewPlayer of the Match: 06.64,/en-GB/players/958283/andrew
160Pedro CarvalhoPlayer of the Match: 06.64,/en-GB/players/1525164/pedro-carvalho
161Mohamed BelloumiPlayer of the Match: 06.63,/en-GB/players/1231090/mohamed-belloumi
162Guilherme SchettinePlayer of the Match: 06.63,/en-GB/players/797896/guilherme-schettine
163Kiko BondosoPlayer of the Match: 06.62,/en-GB/players/1150871/kiko-bondoso
164Lawrence OforiPlayer of the Match: 06.62,/en-GB/players/890500/lawrence-ofori
165Goncalo BorgesPlayer of the Match: 06.62,/en-GB/players/1080520/goncalo-borges
166Gustavo GarciaPlayer of the Match: 06.61,/en-GB/players/1256650/gustavo-garcia
167Jonathan PanzoPlayer of the Match: 06.60,/en-GB/players/955366/jonathan-panzo
168Rafael BarbosaPlayer of the Match: 06.59,/en-GB/players/641218/rafael-barbosa
169Gil DiasPlayer of the Match: 06.58,/en-GB/players/566467/gil-dias
170Nuno MoreiraPlayer of the Match: 06.58,/en-GB/players/1188608/nuno-moreira
171Nigel ThomasPlayer of the Match: 06.58,/en-GB/players/1012783/nigel-thomas
172Brandon AguileraPlayer of the Match: 06.57,/en-GB/players/1021336/brandon-aguilera
173Jose FontánPlayer of the Match: 06.57,/en-GB/players/1160390/jose-fontan
174Matheus DiasPlayer of the Match: 06.57,/en-GB/players/1380814/matheus-dias
175Nuno SantosPlayer of the Match: 06.57,/en-GB/players/554283/nuno-santos
176Yanis BegraouiPlayer of the Match: 06.57,/en-GB/players/933639/yanis-begraoui
177Alejandro OrellanaPlayer of the Match: 06.57,/en-GB/players/1070191/alejandro-orellana
178PastorPlayer of the Match: 06.56,/en-GB/players/1288517/pastor
179Telmo ArcanjoPlayer of the Match: 06.56,/en-GB/players/1165477/telmo-arcanjo
180Miguel SousaPlayer of the Match: 06.55,/en-GB/players/948704/miguel-sousa
181Jaume GrauPlayer of the Match: 06.55,/en-GB/players/893399/jaume-grau
182Jorge AguirrePlayer of the Match: 06.55,/en-GB/players/1203824/jorge-aguirre
183Miguel LopesPlayer of the Match: 06.55,/en-GB/players/150080/miguel-lopes
184Henrique AraujoPlayer of the Match: 06.54,/en-GB/players/1192386/henrique-araujo
185Jean-Baptiste GorbyPlayer of the Match: 06.54,/en-GB/players/1292369/jean-baptiste-gorby
186QuaresmaPlayer of the Match: 06.53,/en-GB/players/1195556/quaresma
187Lucas SoaresPlayer of the Match: 06.53,/en-GB/players/1077665/lucas-soares
188Leonardo LeloPlayer of the Match: 06.52,/en-GB/players/1281236/leonardo-lelo
189Joao GoncalvesPlayer of the Match: 06.52,/en-GB/players/1079220/joao-goncalves
190Ivo RodriguesPlayer of the Match: 06.51,/en-GB/players/388532/ivo-rodrigues
191WendellPlayer of the Match: 06.51,/en-GB/players/487867/wendell
192Fran NavarroPlayer of the Match: 06.51,/en-GB/players/671855/fran-navarro
193Miguel BaezaPlayer of the Match: 06.50,/en-GB/players/1088053/miguel-baeza
194Angelo NetoPlayer of the Match: 06.50,/en-GB/players/304615/angelo-neto
195KazuPlayer of the Match: 06.50,/en-GB/players/1173577/kazu
196Marko GrujicPlayer of the Match: 06.50,/en-GB/players/463284/marko-grujic
197Nermin ZoloticPlayer of the Match: 06.50,/en-GB/players/280443/nermin-zolotic
198Patrick SequeiraPlayer of the Match: 06.50,/en-GB/players/1237856/patrick-sequeira
199Sidnei TavaresPlayer of the Match: 06.49,/en-GB/players/982272/sidnei-tavares
200Amine El OuazzaniPlayer of the Match: 06.49,/en-GB/players/1123505/amine-el-ouazzani
201Bruno CostaPlayer of the Match: 06.49,/en-GB/players/470535/bruno-costa
202Vinicius ZanoceloPlayer of the Match: 06.49,/en-GB/players/1037548/vinicius-zanocelo
203Josafat MendesPlayer of the Match: 06.48,/en-GB/players/1284496/josafat-mendes
204Pedro SantosPlayer of the Match: 06.48,/en-GB/players/1356299/pedro-santos
205Rafik GuitanePlayer of the Match: 06.48,/en-GB/players/814869/rafik-guitane
206Joao TomePlayer of the Match: 06.47,/en-GB/players/1374504/joao-tome
207NaniPlayer of the Match: 06.47,/en-GB/players/40945/nani
208Victor GomezPlayer of the Match: 06.47,/en-GB/players/927647/victor-gomez
209Pedro AmaralPlayer of the Match: 06.46,/en-GB/players/776584/pedro-amaral
210Joao GoulartPlayer of the Match: 06.45,/en-GB/players/1188577/joao-goulart
211José FontePlayer of the Match: 06.44,/en-GB/players/26552/jose-fonte
212Michel CostaPlayer of the Match: 06.44,/en-GB/players/1174658/michel-costa
213Eliaquim MangalaPlayer of the Match: 06.43,/en-GB/players/156551/eliaquim-mangala
214Amine Oudrhiri IdrissiPlayer of the Match: 06.43,/en-GB/players/492157/amine-oudrhiri-idrissi
215Gustavo Henrique RodriguesPlayer of the Match: 06.43,/en-GB/players/1187021/gustavo-henrique-rodrigues
216Joao NovaisPlayer of the Match: 06.43,/en-GB/players/470301/joao-novais
217AlyssonPlayer of the Match: 06.42,/en-GB/players/1603716/alysson
218Alejandro MarquesPlayer of the Match: 06.41,/en-GB/players/929835/alejandro-marques
219Fabio RonaldoPlayer of the Match: 06.41,/en-GB/players/1288115/fabio-ronaldo
220Ricardo VelhoPlayer of the Match: 06.41,/en-GB/players/863848/ricardo-velho
221Bernardo VitalPlayer of the Match: 06.40,/en-GB/players/1184043/bernardo-vital
222FerroPlayer of the Match: 06.40,/en-GB/players/722778/ferro
223Pedro AlvaroPlayer of the Match: 06.39,/en-GB/players/822258/pedro-alvaro
224Jonathan LuccaPlayer of the Match: 06.38,/en-GB/players/362196/jonathan-lucca
225Jonathan MutomboPlayer of the Match: 06.38,/en-GB/players/1668003/jonathan-mutombo
226Sphephelo SitholePlayer of the Match: 06.38,/en-GB/players/1107735/sphephelo-sithole
227JasonPlayer of the Match: 06.37,/en-GB/players/451984/jason
228KikasPlayer of the Match: 06.37,/en-GB/players/957181/kikas
229Alan RuizPlayer of the Match: 06.35,/en-GB/players/263707/alan-ruiz
230Andre GeraldesPlayer of the Match: 06.35,/en-GB/players/209503/andre-geraldes
231ClaytonPlayer of the Match: 06.35,/en-GB/players/1290479/clayton
232Joao MendesPlayer of the Match: 06.35,/en-GB/players/874318/joao-mendes
233Dario EssugoPlayer of the Match: 06.34,/en-GB/players/1239595/dario-essugo
234Gaizka LarrazabalPlayer of the Match: 06.34,/en-GB/players/802329/gaizka-larrazabal
235Goncalo MiguelPlayer of the Match: 06.33,/en-GB/players/1524751/goncalo-miguel
236Leo CordeiroPlayer of the Match: 06.32,/en-GB/players/1079235/leo-cordeiro
237Tiago MoraisPlayer of the Match: 06.31,/en-GB/players/1187392/tiago-morais
238Manuel KelianoPlayer of the Match: 06.30,/en-GB/players/1453679/manuel-keliano
239Ángel Di MariaPlayer of the Match: 06.30,/en-GB/players/46509/angel-di-maria
240MatheusPlayer of the Match: 06.30,/en-GB/players/653592/matheus
241Caio SantanaPlayer of the Match: 06.29,/en-GB/players/1597670/caio-santana
242Henrique PereiraPlayer of the Match: 06.28,/en-GB/players/1226190/henrique-pereira
243Joao BarrosPlayer of the Match: 06.28,/en-GB/players/1667425/joao-barros
244Alberto BaioPlayer of the Match: 06.27,/en-GB/players/1387439/alberto-baio
245Telasco SegoviaPlayer of the Match: 06.27,/en-GB/players/1253904/telasco-segovia
246Talys OliveiraPlayer of the Match: 06.26,/en-GB/players/949349/talys-oliveira
247Salvador AgraPlayer of the Match: 06.25,/en-GB/players/214449/salvador-agra
248Tiago DiasPlayer of the Match: 06.25,/en-GB/players/582408/tiago-dias
249Arvin AppiahPlayer of the Match: 06.24,/en-GB/players/942356/arvin-appiah
250Rodrigo PinhoPlayer of the Match: 06.24,/en-GB/players/667962/rodrigo-pinho
251Simao BertelliPlayer of the Match: 16.23,/en-GB/players/1079233/simao-bertelli
252Claudio FalcaoPlayer of the Match: 06.23,/en-GB/players/864779/claudio-falcao
253PatrickPlayer of the Match: 06.23,/en-GB/players/934713/patrick
254Tommie van de LooiPlayer of the Match: 06.22,/en-GB/players/869364/tommie-van-de-looi
255Babatunde AkinsolaPlayer of the Match: 06.22,/en-GB/players/1284404/babatunde-akinsola
256Duplexe TchambaPlayer of the Match: 06.22,/en-GB/players/834641/duplexe-tchamba
257GabrielPlayer of the Match: 06.22,/en-GB/players/1178467/gabriel
258PabloPlayer of the Match: 06.22,/en-GB/players/1261975/pablo
259Marco MatiasPlayer of the Match: 06.21,/en-GB/players/40946/marco-matias
260Ruben MacedoPlayer of the Match: 06.21,/en-GB/players/554295/ruben-macedo
261Adrián ButzkePlayer of the Match: 06.21,/en-GB/players/1102246/adrian-butzke
262Alfonso TrezzaPlayer of the Match: 06.21,/en-GB/players/1139353/alfonso-trezza
263Lucas FrancaPlayer of the Match: 06.21,/en-GB/players/750049/lucas-franca
264Joao CarvalhoPlayer of the Match: 06.20,/en-GB/players/603808/joao-carvalho
265WeversonPlayer of the Match: 06.19,/en-GB/players/891744/weverson
266Sebastian PerezPlayer of the Match: 06.19,/en-GB/players/309353/sebastian-perez
267Gianluca PrestianniPlayer of the Match: 06.18,/en-GB/players/1363660/gianluca-prestianni
268Andre CastroPlayer of the Match: 06.18,/en-GB/players/40956/andre-castro
269Sandro CruzPlayer of the Match: 06.18,/en-GB/players/1045565/sandro-cruz
270JosuéPlayer of the Match: 06.17,/en-GB/players/242872/josue
271GabrielzinhoPlayer of the Match: 06.16,/en-GB/players/824456/gabrielzinho
272Renato SanchesPlayer of the Match: 06.16,/en-GB/players/589344/renato-sanches
273Diogo CalilaPlayer of the Match: 06.15,/en-GB/players/1014983/diogo-calila
274Joao CostaPlayer of the Match: 06.15,/en-GB/players/1402621/joao-costa
275Afonso FreitasPlayer of the Match: 06.14,/en-GB/players/1355720/afonso-freitas
276Raul BlancoPlayer of the Match: 06.14,/en-GB/players/1187468/raul-blanco
277Matias RochaPlayer of the Match: 06.13,/en-GB/players/1231074/matias-rocha
278Francisco PereiraPlayer of the Match: 06.12,/en-GB/players/1231907/francisco-pereira
279Renato PantalonPlayer of the Match: 06.12,/en-GB/players/978957/renato-pantalon
280Marcos LeonardoPlayer of the Match: 06.12,/en-GB/players/1174663/marcos-leonardo
281Daniel PenhaPlayer of the Match: 06.11,/en-GB/players/813810/daniel-penha
282Isaac AguiarPlayer of the Match: 06.11,/en-GB/players/1459741/isaac-aguiar
283Wagner PinaPlayer of the Match: 06.11,/en-GB/players/1460591/wagner-pina
284Andre FrancoPlayer of the Match: 06.10,/en-GB/players/1080684/andre-franco
285Joao GracaPlayer of the Match: 06.09,/en-GB/players/488540/joao-graca
286Fabricio GarciaPlayer of the Match: 06.09,/en-GB/players/1413282/fabricio-garcia
287Pedro SantosPlayer of the Match: 06.09,/en-GB/players/1356599/pedro-santos
288Ricardo BatistaPlayer of the Match: 06.09,/en-GB/players/35453/ricardo-batista
289Yair MenaPlayer of the Match: 06.09,/en-GB/players/1200655/yair-mena
290Guilherme LiberatoPlayer of the Match: 06.08,/en-GB/players/1668273/guilherme-liberato
291Rodrigo PinheiroPlayer of the Match: 06.08,/en-GB/players/1080508/rodrigo-pinheiro
292Andre LacximicantPlayer of the Match: 06.08,/en-GB/players/1254302/andre-lacximicant
293Robert BozenikPlayer of the Match: 06.07,/en-GB/players/922622/robert-bozenik
294Jordi MboulaPlayer of the Match: 06.07,/en-GB/players/748378/jordi-mboula
295AdrianoPlayer of the Match: 06.06,/en-GB/players/1071102/adriano
296Joao MarioPlayer of the Match: 06.06,/en-GB/players/958421/joao-mario
297Filipe SoaresPlayer of the Match: 06.06,/en-GB/players/793256/filipe-soares
298Fabiano SilvaPlayer of the Match: 06.06,/en-GB/players/1165259/fabiano-silva
299Eric VeigaPlayer of the Match: 06.05,/en-GB/players/754959/eric-veiga
300André SousaPlayer of the Match: 06.04,/en-GB/players/281205/andre-sousa
301Marco MorenoPlayer of the Match: 06.03,/en-GB/players/1343136/marco-moreno
302Manu SilvaPlayer of the Match: 06.03,/en-GB/players/1198071/manu-silva
303Max SvenssonPlayer of the Match: 06.03,/en-GB/players/1199722/max-svensson
304Ole PohlmannPlayer of the Match: 06.02,/en-GB/players/1187364/ole-pohlmann
305Vladislav MorozovPlayer of the Match: 06.02,/en-GB/players/1118881/vladislav-morozov
306TomanéPlayer of the Match: 06.01,/en-GB/players/212695/tomane
307UlissesPlayer of the Match: 06.00,/en-GB/players/1130707/ulisses
308ClaytonPlayer of the Match: 05.99,/en-GB/players/1200928/clayton
309Dario PovedaPlayer of the Match: 05.99,/en-GB/players/816190/dario-poveda
310Nino GalovicPlayer of the Match: 05.98,/en-GB/players/289213/nino-galovic
311Gustavo MendoncaPlayer of the Match: 05.96,/en-GB/players/1437425/gustavo-mendonca
312Hélder CostaPlayer of the Match: 05.93,/en-GB/players/361790/helder-costa
313ElvesPlayer of the Match: 05.87,/en-GB/players/783619/elves
314GeovannyPlayer of the Match: 05.87,/en-GB/players/1586387/geovanny
315Israel SalazarPlayer of the Match: 05.86,/en-GB/players/1418044/israel-salazar
316Tiago ReisPlayer of the Match: 05.85,/en-GB/players/1033157/tiago-reis
317Samuel ObengPlayer of the Match: 05.84,/en-GB/players/965013/samuel-obeng
318Pablo GozálbezPlayer of the Match: 05.80,/en-GB/players/1118703/pablo-gozalbez
319Simon BanzaPlayer of the Match: 05.70,/en-GB/players/696932/simon-banza
320Álex MillánPlayer of the Match: 05.67,/en-GB/players/1093297/alex-millan
321Jorge TeixeiraPlayer of the Match: 05.64,/en-GB/players/171338/jorge-teixeira
322Ze VitorPlayer of the Match: 05.63,/en-GB/players/1256692/ze-vitor
323Miguel NobregaPlayer of the Match: 05.57,/en-GB/players/993805/miguel-nobrega
324DepuPlayer of the Match: 05.55,/en-GB/players/1312644/depu
325Bernardo MartinsPlayer of the Match: 05.52,/en-GB/players/776606/bernardo-martins
326Jose GomesPlayer of the Match: 05.47,/en-GB/players/575065/jose-gomes
327Lucas AfricoPlayer of the Match: 05.43,/en-GB/players/953960/lucas-africo
328Daniel FigueiraPlayer of the Match: 04.47,/en-GB/players/813225/daniel-figueira
